tracker;day;work_start_date;work_start_hour;work_finish_date;work_finish_hour
Forklift 107 T6;13 February Monday;13.02.2023;00:00;13.02.2023;23:53
Forklift 107 T6;14 February Tuesday;14.02.2023;00:01;14.02.2023;23:56
Forklift 107 T6;15 February Wednesday;15.02.2023;00:04;15.02.2023;23:57
Forklift 107 T6;16 February Thursday;16.02.2023;00:03;16.02.2023;23:59
Forklift 107 T6;17 February Friday;17.02.2023;00:00;17.02.2023;23:59
Forklift 107 T6;18 February Saturday;18.02.2023;00:00;18.02.2023;23:54
Forklift 107 T6;19 February Sunday;19.02.2023;00:10;19.02.2023;23:58
Forklift 107 T6;20 February Monday;20.02.2023;00:02;20.02.2023;23:59
Forklift 107 T6;21 February Tuesday;21.02.2023;00:00;21.02.2023;23:59
Forklift 107 T6;22 February Wednesday;22.02.2023;00:00;22.02.2023;23:59
Forklift 107 T6;23 February Thursday;23.02.2023;00:00;23.02.2023;23:59
Forklift 107 T6;24 February Friday;24.02.2023;00:00;24.02.2023;23:57
Forklift 107 T6;25 February Saturday;25.02.2023;00:01;25.02.2023;23:59
