tracker;day;work_start_date;work_start_hour;work_finish_date;work_finish_hour
Forklift 185 T3;31 December Saturday;31.12.2022;00:39;31.12.2022;22:28
Forklift 186 T1;1 December Thursday;01.12.2022;00:14;01.12.2022;23:48
Forklift 186 T1;2 December Friday;02.12.2022;00:04;02.12.2022;23:59
Forklift 186 T1;3 December Saturday;03.12.2022;00:00;03.12.2022;23:59
Forklift 186 T1;4 December Sunday;04.12.2022;00:01;04.12.2022;23:59
Forklift 186 T1;5 December Monday;05.12.2022;00:00;05.12.2022;23:59
Forklift 186 T1;6 December Tuesday;06.12.2022;00:00;06.12.2022;23:58
Forklift 186 T1;7 December Wednesday;07.12.2022;00:00;07.12.2022;23:59
Forklift 186 T1;8 December Thursday;08.12.2022;00:00;08.12.2022;23:59
Forklift 186 T1;9 December Friday;09.12.2022;00:00;09.12.2022;23:49
Forklift 186 T1;10 December Saturday;10.12.2022;00:16;10.12.2022;23:44
Forklift 186 T1;11 December Sunday;11.12.2022;00:17;11.12.2022;23:53
Forklift 186 T1;12 December Monday;12.12.2022;00:16;12.12.2022;23:59
Forklift 186 T1;13 December Tuesday;13.12.2022;00:00;13.12.2022;23:57
Forklift 186 T1;14 December Wednesday;14.12.2022;00:13;14.12.2022;23:59
Forklift 186 T1;15 December Thursday;15.12.2022;00:00;15.12.2022;23:58
Forklift 186 T1;16 December Friday;16.12.2022;00:04;16.12.2022;23:44
Forklift 186 T1;17 December Saturday;17.12.2022;00:02;17.12.2022;23:59
Forklift 186 T1;18 December Sunday;18.12.2022;00:03;18.12.2022;23:50
Forklift 186 T1;19 December Monday;19.12.2022;00:13;19.12.2022;11:10
Forklift 186 T1;22 December Thursday;22.12.2022;16:32;22.12.2022;23:43
Forklift 186 T1;23 December Friday;23.12.2022;00:15;23.12.2022;23:59
Forklift 186 T1;24 December Saturday;24.12.2022;00:02;24.12.2022;23:59
Forklift 186 T1;25 December Sunday;25.12.2022;00:00;25.12.2022;23:59
Forklift 186 T1;26 December Monday;26.12.2022;00:00;26.12.2022;23:59
Forklift 186 T1;27 December Tuesday;27.12.2022;00:00;27.12.2022;23:59
